Title,Season,Genre,Network,Release_Date,Critic_Score,Critics_votes,User_Score,Users_votes
The Challenger Disaster,1,"Drama,Movie/Mini-Series,Science,Educational",Science Channel,16/11/2013,80,10,8.3,7
The Casual Vacancy,1,"Drama,Movie/Mini-Series",HBO,29/04/2015,60,24,5.5,16
The Case Against Adnan Syed,1,"Movie/Mini-Series,Documentary",HBO,10/03/2019,66,16,4.8,13
The Book of Negroes,1,"Drama,Movie/Mini-Series",CBC,07/01/2015,77,9,6.6,15
The Bible ,1,"Drama,Movie/Mini-Series",The History Channel,03/03/2013,45,13,4.1,70
The Bad Seed,1,"Drama,Movie/Mini-Series,Horror",LIFETIME,09/09/2018,43,4,not available, 4 Critic Reviews
The Assets,1,"Drama,Movie/Mini-Series,Action & Adventure,Suspense",ABC,02/01/2014,58,15,5.9,15
The Assassination of Gianni Versace: American Crime Story,1,"Drama,Movie/Mini-Series",FX,17/01/2018,74,35,8.5,242
The Address,1,"Movie/Mini-Series,News/Documentary,Documentary",PBS,15/04/2014,71,6,not available, 6 Critic Reviews
The ABC Murders,1,"Drama,Movie/Mini-Series,Suspense",Prime Video,01/02/2019,58,10,4.9,17
The 50 Year Argument,1,"Movie/Mini-Series,News/Documentary,Documentary",HBO,29/09/2014,80,5,not available, 5 Critic Reviews
Teen Beach Movie,1,"Drama,Movie/Mini-Series,Kids,Music",Disney Channel,19/07/2013,54,6,6.4,30
Stephen King's Desperation,1,"Movie/Mini-Series,Science Fiction",ABC,23/05/2006,46,12,7.3,34
Steel Magnolias,1,"Drama,Movie/Mini-Series",LIFETIME,07/10/2012,76,15,6.8,6
Spielberg,1,"Movie/Mini-Series,Documentary",HBO,07/10/2017,72,15,7.2,22
Sons of Liberty,1,"Drama,Movie/Mini-Series",The History Channel,25/01/2015,65,16,6.5,23
Song of Parkland,1,"Movie/Mini-Series,Documentary",HBO,07/02/2019,73,4,2.4,5
Sleepless in America,1,"Movie/Mini-Series,News/Documentary,Documentary",National Geographic Channel,30/11/2014,84,4,not available, 4 Critic Reviews
Six by Sondheim,1,"Movie/Mini-Series,News/Documentary,Documentary,Music",HBO,09/12/2013,85,12,7.3,12
Sing Your Song,1,"Movie/Mini-Series,News/Documentary",HBO,17/10/2011,86,7,not available, 7 Critic Reviews
Sinatra: All or Nothing at All,1,"Movie/Mini-Series,News/Documentary,Documentary",HBO,05/04/2015,74,11,6.3,10
Silver Bells,1,"Drama,Movie/Mini-Series",CBS,27/11/2005,38,6,6.3,9
Show Me a Hero,1,"Drama,Movie/Mini-Series",HBO,16/08/2015,85,33,7.3,114
Shots Fired,1,"Drama,Movie/Mini-Series",FOX,22/03/2017,66,27,4.4,22
Sharp Objects,1,"Drama,Movie/Mini-Series",HBO,08/07/2018,78,41,6.9,223
The New Edition Story,1,"Drama,Movie/Mini-Series,Music",BET,24/01/2017,76,11,6.5,21
The Name of the Rose,1,"Drama,Movie/Mini-Series,Suspense",SundanceTV,23/05/2019,52,4,6.8,5
The Most Dangerous Animal of All,1,"Movie/Mini-Series,Documentary",FX,06/03/2020,62,10,not available, 10 Critic Reviews
The March,1,"Movie/Mini-Series,Documentary",PBS,27/08/2013,86,6,7,4
The Making of the Mob: New York,1,"Drama,Movie/Mini-Series,News/Documentary,Documentary",AMC,15/06/2015,59,6,7.3,10
The Loudest Voice,1,"Drama,Movie/Mini-Series",SHOWTIME,30/06/2019,61,30,6.2,19
The Looming Tower,1,"Drama,Movie/Mini-Series",HULU,28/02/2018,74,25,5.6,100
The Long Road Home,1,"Drama,Movie/Mini-Series,Action & Adventure,Suspense",National Geographic,07/11/2017,80,8,4.7,29
The Lizzie Borden Chronicles,1,"Drama,Movie/Mini-Series,Action & Adventure,Horror",LIFETIME,05/04/2015,52,8,6.3,15
The Little Drummer Girl,1,"Drama,Soap,Movie/Mini-Series,Action & Adventure,Suspense",AMC,19/11/2018,75,18,7.2,51
The Librarian: The Curse of the Judas Chalice,1,"Drama,Movie/Mini-Series,Action & Adventure",TNT,07/12/2008,77,6,6.8,12
The Leisure Class,1,"Drama,Movie/Mini-Series",HBO,02/11/2015,25,7,2.7,26
